Sigma Gauss	Esperanza Poisson	Límite de integración ePix 
 [e]	 [e/pxl]	 [e] 
0.201	0.326578	0.54
0.201	0.308803	0.542
0.201	0.291994	0.544
0.201	0.2761	0.546
0.201	0.261071	0.548
0.201	0.246859	0.55
0.201	0.233421	0.552
0.201	0.220713	0.554
0.201	0.208697	0.556
0.201	0.197334	0.558
0.201	0.18659	0.56
0.201	0.17643	0.562
0.201	0.166823	0.564
0.201	0.157739	0.566
0.201	0.149149	0.568
0.201	0.141026	0.57
0.201	0.133345	0.572
0.201	0.126082	0.574
0.201	0.119215	0.576
0.201	0.112721	0.578
0.201	0.10658	0.58
0.201	0.100774	0.582
0.201	0.0952837	0.584
0.201	0.0900921	0.586
0.201	0.0851831	0.588
0.201	0.0805412	0.59
0.201	0.076152	0.592
0.201	0.0720017	0.594
0.201	0.0680774	0.596
0.201	0.0643666	0.598
0.201	0.0608579	0.6
0.201	0.0575401	0.602
0.201	0.054403	0.604
0.201	0.0514368	0.606
0.201	0.048632	0.608
0.201	0.0459799	0.61
0.201	0.0434723	0.612
0.201	0.0411012	0.614
0.201	0.0388592	0.616
0.201	0.0367394	0.618
0.201	0.034735	0.62
0.201	0.0328398	0.622
0.201	0.0310479	0.624
0.201	0.0293535	0.626
0.201	0.0277515	0.628
0.201	0.0262367	0.63
0.201	0.0248045	0.632
0.201	0.0234504	0.634
0.201	0.02217	0.636
0.201	0.0209594	0.638
0.201	0.0198148	0.64
0.201	0.0187326	0.642
0.201	0.0177094	0.644
0.201	0.016742	0.646
0.201	0.0158273	0.648
0.201	0.0149625	0.65
0.201	0.0141448	0.652
0.201	0.0133718	0.654
0.201	0.0126409	0.656
0.201	0.0119498	0.658
0.201	0.0112965	0.66
0.201	0.0106788	0.662
0.201	0.0100948	0.664
0.201	0.0095427	0.666
0.201	0.0090207	0.668
0.201	0.0085272	0.67
0.201	0.00806064	0.672
0.201	0.00761954	0.674
0.201	0.00720253	0.676
0.201	0.00680828	0.678
0.201	0.00643556	0.68
0.201	0.0060832	0.682
0.201	0.00575008	0.684
0.201	0.00543516	0.686
0.201	0.00513744	0.688
0.201	0.00485599	0.69
0.201	0.00458992	0.692
0.201	0.00433839	0.694
0.201	0.0041006	0.696
0.201	0.00387582	0.698
0.201	0.00366332	0.7
0.201	0.00346244	0.702
0.201	0.00327255	0.704
0.201	0.00309304	0.706
0.201	0.00292335	0.708
0.201	0.00276295	0.71
0.201	0.00261132	0.712
0.201	0.00246798	0.714
0.201	0.00233249	0.716
0.201	0.00220442	0.718
0.201	0.00208336	0.72
0.201	0.00196893	0.722
0.201	0.00186076	0.724
0.201	0.00175852	0.726
0.201	0.00166187	0.728
0.201	0.00157052	0.73
0.201	0.00148418	0.732
0.201	0.00140257	0.734
0.201	0.00132543	0.736
0.201	0.00125252	0.738
0.201	0.00118361	0.74
0.201	0.00111847	0.742
0.201	0.00105691	0.744
0.201	0.000998725	0.746
0.201	0.000943732	0.748
0.201	0.000891757	0.75
0.201	0.000842633	0.752
0.201	0.000796207	0.754
0.201	0.000752329	0.756
0.201	0.00071086	0.758
0.201	0.000671669	0.76
0.201	0.00063463	0.762
0.201	0.000599627	0.764
0.201	0.000566546	0.766
0.201	0.000535284	0.768
0.201	0.00050574	0.77
0.201	0.000477821	0.772
0.201	0.000451437	0.774
0.201	0.000426504	0.776
0.201	0.000402942	0.778
0.201	0.000380677	0.78
0.201	0.000359637	0.782
0.201	0.000339756	0.784
0.201	0.000320969	0.786
0.201	0.000303216	0.788
0.201	0.000286442	0.79
0.201	0.000270591	0.792
0.201	0.000255614	0.794
0.201	0.000241462	0.796
0.201	0.00022809	0.798
0.201	0.000215456	0.8
0.201	0.000203518	0.802
0.203	0.333114	0.54
0.203	0.315295	0.542
0.203	0.298429	0.544
0.203	0.282464	0.546
0.203	0.267353	0.548
0.203	0.25305	0.55
0.203	0.239512	0.552
0.203	0.226697	0.554
0.203	0.214568	0.556
0.203	0.203087	0.558
0.203	0.19222	0.56
0.203	0.181933	0.562
0.203	0.172197	0.564
0.203	0.162982	0.566
0.203	0.154259	0.568
0.203	0.146003	0.57
0.203	0.138188	0.572
0.203	0.130791	0.574
0.203	0.12379	0.576
0.203	0.117163	0.578
0.203	0.11089	0.58
0.203	0.104953	0.582
0.203	0.0993333	0.584
0.203	0.0940142	0.586
0.203	0.0889797	0.588
0.203	0.0842145	0.59
0.203	0.0797041	0.592
0.203	0.075435	0.594
0.203	0.0713943	0.596
0.203	0.0675698	0.598
0.203	0.0639498	0.6
0.203	0.0605236	0.602
0.203	0.0572806	0.604
0.203	0.0542112	0.606
0.203	0.051306	0.608
0.203	0.0485563	0.61
0.203	0.0459537	0.612
0.203	0.0434905	0.614
0.203	0.041159	0.616
0.203	0.0389524	0.618
0.203	0.0368638	0.62
0.203	0.0348871	0.622
0.203	0.0330162	0.624
0.203	0.0312455	0.626
0.203	0.0295695	0.628
0.203	0.0279833	0.63
0.203	0.0264821	0.632
0.203	0.0250612	0.634
0.203	0.0237164	0.636
0.203	0.0224437	0.638
0.203	0.0212391	0.64
0.203	0.0200991	0.642
0.203	0.0190201	0.644
0.203	0.017999	0.646
0.203	0.0170325	0.648
0.203	0.0161179	0.65
0.203	0.0152523	0.652
0.203	0.014433	0.654
0.203	0.0136577	0.656
0.203	0.0129239	0.658
0.203	0.0122295	0.66
0.203	0.0115723	0.662
0.203	0.0109503	0.664
0.203	0.0103617	0.666
0.203	0.00980467	0.668
0.203	0.00927751	0.67
0.203	0.00877862	0.672
0.203	0.0083065	0.674
0.203	0.00785971	0.676
0.203	0.00743689	0.678
0.203	0.00703676	0.68
0.203	0.00665811	0.682
0.203	0.00629978	0.684
0.203	0.00596069	0.686
0.203	0.0056398	0.688
0.203	0.00533614	0.69
0.203	0.00504879	0.692
0.203	0.00477687	0.694
0.203	0.00451956	0.696
0.203	0.00427607	0.698
0.203	0.00404566	0.7
0.203	0.00382763	0.702
0.203	0.00362132	0.704
0.203	0.00342609	0.706
0.203	0.00324137	0.708
0.203	0.00306657	0.71
